HDR_MATERIAL,HDR_MATL_GROUP,COMP_MATERIAL,COMP_MATL_GROUP,COMP_QTY,HEADER_QTY,PLANT,BOM_ALT,BOM_STATUS,BOM_USG,ITEM_NO,VALID_FROM,VALID_TO,DEL_FLAG
CHIP-0015-01,CHIP,DIE-1501,DIE,3,1,PLT01,02,01,1,10,2025-09-16,2027-12-28,
DIE-1501,DIE,WAFER-1501,WAFER,4,1,PLT01,02,01,1,10,2025-07-30,2026-02-07,
WAFER-1501,WAFER,FAB-1501,FAB_OUT,2,1,PLT01,02,01,1,10,2027-08-20,2029-06-20,
FAB-1501,FAB_OUT,RAW-1501,RAW,2,1,PLT01,02,01,1,10,2026-11-29,2027-12-02,
CHIP-0015-02,CHIP,DIE-1502,DIE,1,1,PLT01,02,01,1,10,2026-06-02,2028-04-01,
DIE-1502,DIE,WAFER-1502,WAFER,1,1,PLT01,02,01,1,10,2025-05-14,2026-12-25,
WAFER-1502,WAFER,FAB-1502,FAB_OUT,2,1,PLT01,02,01,1,10,2025-06-01,2027-07-11,
FAB-1502,FAB_OUT,RAW-1502,RAW,3,1,PLT01,02,01,1,10,2025-04-20,2026-03-21,
FPN-0016,FPN,PKGD-0016,PKGD,1,1,PLT01,02,01,1,10,2025-06-24,2026-09-01,
PKGD-0016,PKGD,TSTD-0016,TSTD,1,1,PLT01,02,01,1,10,2025-08-31,2027-09-21,
TSTD-0016,TSTD,ASMBLD-0016,ASMBLD,1,1,PLT01,02,01,1,10,2027-05-03,2029-07-11,
ASMBLD-0016,ASMBLD,MODULE-0016-A,MODULE,1,1,PLT01,02,01,1,10,2027-12-07,2029-06-28,
MODULE-0016-A,MODULE,CHIP-0016-01,CHIP,4,1,PLT01,02,01,1,48,2027-05-29,2028-10-02,
MODULE-0016-A,MODULE,CHIP-0016-02,CHIP,1,1,PLT01,02,01,1,88,2025-07-23,2028-03-10,
CHIP-0016-01,CHIP,DIE-1601,DIE,2,1,PLT01,02,01,1,10,2026-03-09,2027-06-02,
DIE-1601,DIE,WAFER-1601,WAFER,1,1,PLT01,02,01,1,10,2025-11-18,2027-01-17,
WAFER-1601,WAFER,FAB-1601,FAB_OUT,1,1,PLT01,02,01,1,10,2025-06-03,2026-05-09,
FAB-1601,FAB_OUT,RAW-1601,RAW,1,1,PLT01,02,01,1,10,2027-04-17,2029-01-17,
CHIP-0016-02,CHIP,DIE-1602,DIE,4,1,PLT01,02,01,1,10,2026-08-20,2027-03-21,
DIE-1602,DIE,WAFER-1602,WAFER,2,1,PLT01,02,01,1,10,2026-08-14,2029-02-02,
WAFER-1602,WAFER,FAB-1602,FAB_OUT,2,1,PLT01,02,01,1,10,2027-07-19,2028-03-27,
FAB-1602,FAB_OUT,RAW-1602,RAW,3,1,PLT01,02,01,1,10,2026-04-24,2027-07-18,
FPN-0017,FPN,PKGD-0017,PKGD,1,1,PLT03,01,01,1,10,2027-05-21,2028-03-13,
PKGD-0017,PKGD,TSTD-0017,TSTD,1,1,PLT03,01,01,1,10,2026-04-06,2028-07-27,
TSTD-0017,TSTD,ASMBLD-0017,ASMBLD,1,1,PLT03,01,01,1,10,2025-11-02,2027-01-28,
ASMBLD-0017,ASMBLD,MODULE-0017-A,MODULE,1,1,PLT03,01,01,1,10,2025-05-27,2026-01-23,
MODULE-0017-A,MODULE,CHIP-0017-01,CHIP,3,1,PLT03,01,01,1,86,2026-08-15,2028-05-05,
CHIP-0017-01,CHIP,DIE-1701,DIE,1,1,PLT03,01,01,1,10,2027-08-18,2030-01-19,
DIE-1701,DIE,WAFER-1701,WAFER,3,1,PLT03,01,01,1,10,2027-04-05,2028-07-06,
WAFER-1701,WAFER,FAB-1701,FAB_OUT,2,1,PLT03,01,01,1,10,2027-06-16,2028-03-04,
FAB-1701,FAB_OUT,RAW-1701,RAW,3,1,PLT03,01,01,1,10,2025-03-23,2026-12-05,
FPN-0018,FPN,PKGD-0018,PKGD,1,1,PLT03,02,01,1,10,2026-05-28,2026-12-20,
PKGD-0018,PKGD,TSTD-0018,TSTD,1,1,PLT03,02,01,1,10,2025-07-07,2026-08-25,
TSTD-0018,TSTD,ASMBLD-0018,ASMBLD,1,1,PLT03,02,01,1,10,2025-02-12,2027-10-03,
ASMBLD-0018,ASMBLD,MODULE-0018-A,MODULE,1,1,PLT03,02,01,1,10,2025-03-24,2027-11-10,
ASMBLD-0018,ASMBLD,MODULE-0018-B,MODULE,1,1,PLT03,02,01,1,20,2025-12-25,2027-10-17,
MODULE-0018-A,MODULE,CHIP-0018-01,CHIP,3,1,PLT03,02,01,1,33,2027-06-12,2029-09-19,
MODULE-0018-A,MODULE,CHIP-0018-02,CHIP,4,1,PLT03,02,01,1,21,2027-08-21,2029-02-07,
MODULE-0018-B,MODULE,CHIP-0018-01,CHIP,2,1,PLT03,02,01,1,52,2027-04-24,2029-09-30,
MODULE-0018-B,MODULE,CHIP-0018-03,CHIP,4,1,PLT03,02,01,1,80,2025-03-17,2026-12-22,
CHIP-0018-01,CHIP,DIE-1801,DIE,1,1,PLT03,02,01,1,10,2026-10-07,2027-12-19,
DIE-1801,DIE,WAFER-1801,WAFER,3,1,PLT03,02,01,1,10,2025-08-26,2028-04-23,
WAFER-1801,WAFER,FAB-1801,FAB_OUT,2,1,PLT03,02,01,1,10,2027-11-20,2028-05-19,
FAB-1801,FAB_OUT,RAW-1801,RAW,3,1,PLT03,02,01,1,10,2027-08-05,2029-03-30,
CHIP-0018-02,CHIP,DIE-1802,DIE,1,1,PLT03,02,01,1,10,2026-01-20,2027-12-31,
DIE-1802,DIE,WAFER-1802,WAFER,3,1,PLT03,02,01,1,10,2027-10-18,2030-01-15,
WAFER-1802,WAFER,FAB-1802,FAB_OUT,2,1,PLT03,02,01,1,10,2025-04-16,2026-05-09,
FAB-1802,FAB_OUT,RAW-1802,RAW,2,1,PLT03,02,01,1,10,2025-09-26,2027-01-13,
CHIP-0018-03,CHIP,DIE-1803,DIE,4,1,PLT03,02,01,1,10,2027-09-20,2028-07-20,
DIE-1803,DIE,WAFER-1803,WAFER,1,1,PLT03,02,01,1,10,2026-05-06,2028-10-28,
WAFER-1803,WAFER,FAB-1803,FAB_OUT,1,1,PLT03,02,01,1,10,2026-09-29,2028-10-12,
FAB-1803,FAB_OUT,RAW-1803,RAW,1,1,PLT03,02,01,1,10,2027-04-16,2028-01-16,
FPN-0019,FPN,PKGD-0019,PKGD,1,1,PLT01,01,01,1,10,2027-08-04,2028-05-30,
PKGD-0019,PKGD,TSTD-0019,TSTD,1,1,PLT01,01,01,1,10,2025-11-12,2027-10-03,
TSTD-0019,TSTD,ASMBLD-0019,ASMBLD,1,1,PLT01,01,01,1,10,2026-08-21,2028-07-22,
ASMBLD-0019,ASMBLD,MODULE-0019-A,MODULE,1,1,PLT01,01,01,1,10,2027-05-01,2029-03-05,
ASMBLD-0019,ASMBLD,MODULE-0019-B,MODULE,1,1,PLT01,01,01,1,20,2027-08-26,2028-10-28,
MODULE-0019-A,MODULE,CHIP-0019-01,CHIP,2,1,PLT01,01,01,1,59,2026-01-26,2028-03-29,
MODULE-0019-A,MODULE,CHIP-0019-02,CHIP,2,1,PLT01,01,01,1,18,2026-07-20,2029-03-17,
MODULE-0019-B,MODULE,CHIP-0019-02,CHIP,1,1,PLT01,01,01,1,46,2026-09-04,2028-10-24,
MODULE-0019-B,MODULE,CHIP-0019-03,CHIP,4,1,PLT01,01,01,1,29,2027-07-04,2029-07-04,
CHIP-0019-01,CHIP,DIE-1901,DIE,4,1,PLT01,01,01,1,10,2026-12-08,2028-05-11,
DIE-1901,DIE,WAFER-1901,WAFER,4,1,PLT01,01,01,1,10,2027-07-22,2028-12-12,
WAFER-1901,WAFER,FAB-1901,FAB_OUT,1,1,PLT01,01,01,1,10,2026-05-05,2028-06-08,
FAB-1901,FAB_OUT,RAW-1901,RAW,2,1,PLT01,01,01,1,10,2026-04-24,2028-12-23,
CHIP-0019-02,CHIP,DIE-1902,DIE,4,1,PLT01,01,01,1,10,2025-03-31,2026-08-18,
DIE-1902,DIE,WAFER-1902,WAFER,4,1,PLT01,01,01,1,10,2027-02-20,2028-09-17,
WAFER-1902,WAFER,FAB-1902,FAB_OUT,1,1,PLT01,01,01,1,10,2027-10-12,2028-05-16,
FAB-1902,FAB_OUT,RAW-1902,RAW,1,1,PLT01,01,01,1,10,2027-10-26,2029-12-18,
CHIP-0019-03,CHIP,DIE-1903,DIE,3,1,PLT01,01,01,1,10,2025-07-25,2027-04-16,
DIE-1903,DIE,WAFER-1903,WAFER,1,1,PLT01,01,01,1,10,2027-12-14,2029-09-21,
WAFER-1903,WAFER,FAB-1903,FAB_OUT,1,1,PLT01,01,01,1,10,2025-10-23,2027-06-14,
FAB-1903,FAB_OUT,RAW-1903,RAW,3,1,PLT01,01,01,1,10,2025-11-13,2026-07-27,
FPN-0020,FPN,PKGD-0020,PKGD,1,1,PLT02,02,01,1,10,2026-11-25,2029-02-20,
PKGD-0020,PKGD,TSTD-0020,TSTD,1,1,PLT02,02,01,1,10,2027-03-26,2029-07-18,
TSTD-0020,TSTD,ASMBLD-0020,ASMBLD,1,1,PLT02,02,01,1,10,2025-06-14,2026-11-12,
ASMBLD-0020,ASMBLD,MODULE-0020-A,MODULE,1,1,PLT02,02,01,1,10,2026-10-11,2029-01-09,
ASMBLD-0020,ASMBLD,MODULE-0020-B,MODULE,1,1,PLT02,02,01,1,20,2027-09-27,2029-09-30,
ASMBLD-0020,ASMBLD,MODULE-0020-C,MODULE,1,1,PLT02,02,01,1,30,2025-03-15,2027-06-05,
MODULE-0020-A,MODULE,CHIP-0020-01,CHIP,2,1,PLT02,02,01,1,90,2026-08-12,2027-09-28,
MODULE-0020-B,MODULE,CHIP-0020-02,CHIP,1,1,PLT02,02,01,1,22,2027-06-28,2028-06-12,
MODULE-0020-C,MODULE,CHIP-0020-03,CHIP,1,1,PLT02,02,01,1,51,2025-04-25,2026-08-18,
MODULE-0020-C,MODULE,CHIP-0020-02,CHIP,2,1,PLT02,02,01,1,41,2027-12-24,2029-08-16,
CHIP-0020-01,CHIP,DIE-2001,DIE,2,1,PLT02,02,01,1,10,2025-12-15,2026-12-09,
DIE-2001,DIE,WAFER-2001,WAFER,1,1,PLT02,02,01,1,10,2027-02-23,2029-05-17,
WAFER-2001,WAFER,FAB-2001,FAB_OUT,1,1,PLT02,02,01,1,10,2027-10-17,2029-12-02,
FAB-2001,FAB_OUT,RAW-2001,RAW,1,1,PLT02,02,01,1,10,2026-04-21,2028-02-02,
CHIP-0020-02,CHIP,DIE-2002,DIE,3,1,PLT02,02,01,1,10,2027-07-31,2028-10-14,
DIE-2002,DIE,WAFER-2002,WAFER,1,1,PLT02,02,01,1,10,2027-08-11,2028-11-27,
WAFER-2002,WAFER,FAB-2002,FAB_OUT,1,1,PLT02,02,01,1,10,2025-06-01,2027-02-23,
FAB-2002,FAB_OUT,RAW-2002,RAW,2,1,PLT02,02,01,1,10,2026-09-05,2028-12-17,
CHIP-0020-03,CHIP,DIE-2003,DIE,4,1,PLT02,02,01,1,10,2026-05-28,2028-03-05,
DIE-2003,DIE,WAFER-2003,WAFER,3,1,PLT02,02,01,1,10,2026-02-12,2027-09-08,
WAFER-2003,WAFER,FAB-2003,FAB_OUT,2,1,PLT02,02,01,1,10,2025-08-07,2026-10-03,
FAB-2003,FAB_OUT,RAW-2003,RAW,2,1,PLT02,02,01,1,10,2027-01-06,2029-02-12,
